Rank,Title,Score,Format,Date,Studio,Genres,Source,Rating,Recommendation
49,Another,7.51,TV (12 eps),Jan 2012 - Mar 2012,P.A. Works,"['Horror', 'Mystery', 'Supernatural', 'Suspense', 'School']",Light novel,R - 17+ (violence & profanity),Higurashi no Naku Koro ni
50,Neon Genesis Evangelion,8.33,TV (26 eps),Oct 1995 - Mar 1996,Tatsunoko Production,"['Action', 'Avant Garde', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological']",Original,PG-13 - Teens 13 or older,Mahou Shoujo Madoka★Magica
51,Soul Eater,7.85,TV (51 eps),Apr 2008 - Mar 2009,Bones,"['Action', 'Comedy', 'Fantasy', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Ao no Exorcist
52,Psycho-Pass,8.36,TV (22 eps),Oct 2012 - Mar 2013,Production I.G,"['Action', 'Sci-Fi', 'Suspense', 'Police', 'Psychological']",Original,R - 17+ (violence & profanity),Death Note
53,Shokugeki no Souma,8.22,TV (24 eps),Apr 2015 - Sep 2015,J.C.Staff,"['Gourmet', 'Ecchi', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Yakitate!! Japan
54,Tengen Toppa Gurren Lagann,8.65,TV (27 eps),Apr 2007 - Sep 2007,Gainax,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Mecha']",Original,PG-13 - Teens 13 or older,Kill la Kill
55,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.37,TV (11 eps),Apr 2011 - Jun 2011,A-1 Pictures,"['Drama', 'Slice of Life', 'Supernatural']",Original,PG-13 - Teens 13 or older,Angel Beats!
56,Violet Evergarden,8.65,TV (13 eps),Jan 2018 - Apr 2018,Kyoto Animation,"['Drama', 'Fantasy', 'Slice of Life']",Light novel,PG-13 - Teens 13 or older,Vivy: Fluorite Eye's Song
57,Elfen Lied,7.53,TV (13 eps),Jul 2004 - Oct 2004,Arms,"['Action', 'Drama', 'Horror', 'Romance', 'Supernatural', 'Psychological', 'Seinen']",Manga,R+ - Mild Nudity,Higurashi no Naku Koro ni
58,Shingeki no Kyojin: The Final Season,8.92,TV (16 eps),Dec 2020 - Mar 2021,MAPPA,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Youjo Senki
59,Fullmetal Alchemist,8.13,TV (51 eps),Oct 2003 - Oct 2004,Bones,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Military', 'Shounen']",Manga,PG-13 - Teens 13 or older,D.Gray-man
